kind,label,iou,pred_label
exact,RESSARCIMENTO,0.9954128440366973,
FP,RESSARCIMENTO,0.0,
exact,MULTA,0.9964028776978417,
exact,MULTA,0.9967741935483871,
exact,MULTA,1.0,
exact,MULTA,0.9944444444444445,
exact,RESSARCIMENTO,0.9908536585365854,
exact,MULTA,0.99609375,
exact,MULTA,0.9967741935483871,
exact,MULTA,1.0,
FP,MULTA,0.0,
exact,RESSARCIMENTO,0.9903225806451613,
exact,MULTA,0.9903846153846154,
boundary,RESSARCIMENTO,0.46808510638297873,MULTA
boundary,RESSARCIMENTO,0.44072948328267475,RESSARCIMENTO
exact,MULTA,1.0,
exact,RESSARCIMENTO,0.8819561551433389,
exact,RESSARCIMENTO,0.6980392156862745,
FP,OBRIGACAO,0.0,
type_error,RESSARCIMENTO,0.7777777777777778,MULTA
exact,MULTA,0.9391891891891891,
exact,RESSARCIMENTO,0.7777777777777778,
exact,OBRIGACAO,0.9971830985915493,
exact,MULTA,0.5013192612137203,
boundary,RESSARCIMENTO,0.4312267657992565,RESSARCIMENTO
boundary,MULTA,0.46965699208443273,OBRIGACAO
exact,MULTA,0.9890909090909091,
exact,MULTA,0.9903846153846154,
exact,MULTA,0.9877049180327869,
exact,MULTA,0.927461139896373,
exact,RESSARCIMENTO,0.9965397923875432,
exact,RESSARCIMENTO,0.916,
exact,MULTA,0.9928571428571429,
exact,RESSARCIMENTO,0.8255813953488372,
exact,MULTA,0.9927007299270073,
exact,RESSARCIMENTO,0.8792270531400966,
exact,MULTA,0.9931972789115646,
exact,RESSARCIMENTO,0.993103448275862,
boundary,RESSARCIMENTO,0.22006472491909385,MULTA
boundary,RESSARCIMENTO,0.24705882352941178,RESSARCIMENTO
exact,RESSARCIMENTO,0.995575221238938,
exact,MULTA,0.9910979228486647,
exact,MULTA,0.9234972677595629,
boundary,RESSARCIMENTO,0.36807095343680707,RESSARCIMENTO
exact,MULTA,0.9969230769230769,
exact,MULTA,0.9944444444444445,
exact,MULTA,0.8823529411764706,
exact,RESSARCIMENTO,0.9965753424657534,
FN,MULTA,0.0,
boundary,MULTA,0.31129196337741605,MULTA
boundary,MULTA,0.41485809682804675,MULTA
exact,RESSARCIMENTO,0.9971098265895953,
boundary,MULTA,0.2655935613682093,RECOMENDACAO
FN,MULTA,0.0,
FN,MULTA,0.0,
FN,MULTA,0.0,
FN,MULTA,0.0,
FN,MULTA,0.0,
FN,RESSARCIMENTO,0.0,
FN,RESSARCIMENTO,0.0,
exact,RESSARCIMENTO,0.8260869565217391,
exact,RESSARCIMENTO,0.5938375350140056,
exact,MULTA,0.9906542056074766,
exact,RESSARCIMENTO,0.6595744680851063,
boundary,RESSARCIMENTO,0.20418848167539266,MULTA
boundary,RESSARCIMENTO,0.36649214659685864,MULTA
exact,MULTA,0.9651162790697675,
exact,MULTA,0.6086956521739131,
exact,MULTA,0.7122302158273381,
exact,MULTA,0.9523809523809523,
exact,MULTA,0.9803921568627451,
exact,MULTA,0.6842105263157895,
exact,RESSARCIMENTO,0.941747572815534,
exact,RESSARCIMENTO,0.8495145631067961,
exact,RESSARCIMENTO,0.7891891891891892,
exact,RESSARCIMENTO,0.9349112426035503,
FN,MULTA,0.0,
FN,MULTA,0.0,
FN,MULTA,0.0,
FN,MULTA,0.0,
exact,MULTA,0.9975,
exact,MULTA,0.9959514170040485,
exact,MULTA,0.9967948717948718,
exact,RESSARCIMENTO,0.993421052631579,
exact,MULTA,0.9939393939393939,
exact,RESSARCIMENTO,0.6761363636363636,
exact,MULTA,0.92,
exact,MULTA,0.7074235807860262,
exact,RESSARCIMENTO,0.9939393939393939,
FN,MULTA,0.0,
exact,MULTA,0.9939024390243902,
exact,RESSARCIMENTO,0.7183098591549296,
exact,MULTA,0.9941520467836257,
exact,MULTA,0.8181818181818182,
exact,MULTA,0.8523809523809524,
FN,MULTA,0.0,
FN,RESSARCIMENTO,0.0,
FN,RESSARCIMENTO,0.0,
FN,MULTA,0.0,
FN,RECOMENDACAO,0.0,
exact,MULTA,0.9752066115702479,
type_error,RESSARCIMENTO,0.7041984732824428,MULTA
boundary,RESSARCIMENTO,0.21820303383897316,RESSARCIMENTO
FP,RECOMENDACAO,0.0,
exact,MULTA,0.9927007299270073,
exact,RESSARCIMENTO,0.7607843137254902,
exact,MULTA,0.9473684210526315,
exact,MULTA,0.9976689976689976,
exact,RESSARCIMENTO,0.8404761904761905,
exact,MULTA,0.5393053016453382,
exact,MULTA,0.8441558441558441,
FN,MULTA,0.0,
boundary,RESSARCIMENTO,0.41188118811881186,RESSARCIMENTO
boundary,RESSARCIMENTO,0.28421052631578947,MULTA
exact,RESSARCIMENTO,0.5023923444976076,
exact,MULTA,0.535181236673774,
boundary,RESSARCIMENTO,0.2944550669216061,MULTA
exact,RESSARCIMENTO,0.9569288389513109,
boundary,RESSARCIMENTO,0.21482602118003025,MULTA
boundary,RESSARCIMENTO,0.21029411764705883,RESSARCIMENTO
exact,RESSARCIMENTO,0.9940476190476191,
