| model_a                                            | model_b                                            | display_a            | display_b            |     f1_a |     f1_b |      diff_f1 |    ci_lower |   ci_upper |   p_value | significant_95   |
| gpt-4.1_few_shot                                   | neuralmind_bert-base-portuguese-cased__supervised  | GPT-4.1              | BERTimbau-base       | 0.715128 | 0.68956  |  0.0260936   | -0.0191877  |  0.0723421 |    0.2624 | False            |
| qwen2.5-72b_few_shot                               | bilstm-crf__supervised                             | Qwen2.5-72B          | BiLSTM-CRF           | 0.615385 | 0.592593 |  0.0231885   | -0.0458338  |  0.092404  |    0.5054 | False            |
| gpt-4.1_few_shot                                   | gpt-4.1-mini_few_shot                              | GPT-4.1              | GPT-4.1-mini         | 0.715128 | 0.69763  |  0.017541    | -0.00583837 |  0.0410572 |    0.1474 | False            |
| gpt-5.2_few_shot                                   | bilstm-crf__supervised                             | GPT-5.2              | BiLSTM-CRF           | 0.606742 | 0.592593 |  0.0143216   | -0.0504766  |  0.0786543 |    0.6666 | False            |
| gpt-4.1-mini_few_shot                              | gpt-5.1_few_shot                                   | GPT-4.1-mini         | GPT-5.1              | 0.69763  | 0.684667 |  0.0130589   | -0.0133494  |  0.0395969 |    0.3294 | False            |
| rufimelo_Legal-BERTimbau-base__supervised          | bilstm-crf__supervised                             | Legal-BERTimbau-base | BiLSTM-CRF           | 0.605144 | 0.592593 |  0.0120891   | -0.0451934  |  0.0695812 |    0.6864 | False            |
| neuralmind_bert-large-portuguese-cased__supervised | bilstm-crf__supervised                             | BERTimbau-large      | BiLSTM-CRF           | 0.604863 | 0.592593 |  0.0117181   | -0.0460775  |  0.0704042 |    0.7046 | False            |
| qwen2.5-72b_few_shot                               | neuralmind_bert-large-portuguese-cased__supervised | Qwen2.5-72B          | BERTimbau-large      | 0.615385 | 0.604863 |  0.0114704   | -0.0514558  |  0.0762032 |    0.7296 | False            |
| qwen2.5-72b_few_shot                               | rufimelo_Legal-BERTimbau-base__supervised          | Qwen2.5-72B          | Legal-BERTimbau-base | 0.615385 | 0.605144 |  0.0110994   | -0.0460825  |  0.0700904 |    0.7124 | False            |
| gpt-4.1-nano_few_shot                              | gpt-5-mini_few_shot                                | GPT-4.1-nano         | GPT-5-mini           | 0.400732 | 0.410835 | -0.00973517  | -0.0578457  |  0.0384951 |    0.686  | False            |
| gpt-4.1_few_shot                                   | deepseek-v4-flash_few_shot                         | GPT-4.1              | DeepSeek-V4-Flash    | 0.715128 | 0.724062 | -0.0091548   | -0.0590844  |  0.0415725 |    0.7238 | False            |
| gpt-5.2_few_shot                                   | qwen2.5-72b_few_shot                               | GPT-5.2              | Qwen2.5-72B          | 0.606742 | 0.615385 | -0.00886691  | -0.0493043  |  0.0313262 |    0.6656 | False            |
| gpt-4.1-mini_few_shot                              | neuralmind_bert-base-portuguese-cased__supervised  | GPT-4.1-mini         | BERTimbau-base       | 0.69763  | 0.68956  |  0.00855257  | -0.0348868  |  0.0521672 |    0.7046 | False            |
| gpt-5.1_few_shot                                   | neuralmind_bert-base-portuguese-cased__supervised  | GPT-5.1              | BERTimbau-base       | 0.684667 | 0.68956  | -0.00450631  | -0.0499099  |  0.0418728 |    0.8566 | False            |
| gpt-5.2_few_shot                                   | neuralmind_bert-large-portuguese-cased__supervised | GPT-5.2              | BERTimbau-large      | 0.606742 | 0.604863 |  0.00260349  | -0.0526889  |  0.060741  |    0.9412 | False            |
| gpt-5.2_few_shot                                   | rufimelo_Legal-BERTimbau-base__supervised          | GPT-5.2              | Legal-BERTimbau-base | 0.606742 | 0.605144 |  0.0022325   | -0.0520098  |  0.0578382 |    0.9464 | False            |
| rufimelo_Legal-BERTimbau-base__supervised          | neuralmind_bert-large-portuguese-cased__supervised | Legal-BERTimbau-base | BERTimbau-large      | 0.605144 | 0.604863 |  0.000370996 | -0.040121   |  0.0429149 |    0.9964 | False            |
